iter	Passed	Remaining
415	2854	65757
416	2861	65752
417	2867	65729
418	2873	65709
419	2880	65707
420	2885	65661
421	2894	65699
422	2899	65656
423	2905	65620
424	2911	65597
425	2917	65566
426	2923	65552
427	2929	65510
428	2934	65464
429	2942	65496
430	2948	65463
431	2955	65449
432	2962	65451
433	2967	65414
434	2975	65430
435	2980	65383
436	2988	65407
437	2994	65368
438	2999	65335
439	3009	65383
440	3014	65336
441	3022	65366
442	3028	65325
443	3034	65311
444	3041	65310
445	3046	65265
446	3054	65279
447	3059	65242
448	3066	65238
449	3072	65202
450	3077	65167
451	3083	65142
452	3089	65104
453	3094	65072
454	3101	65060
455	3106	65026
456	3112	64989
457	3118	64975
458	3124	64947
459	3129	64906
460	3136	64897
461	3141	64855
462	3147	64826
463	3153	64806
464	3158	64759
465	3164	64735
466	3169	64708
467	3175	64680
468	3182	64675
469	3187	64638
470	3193	64601
471	3200	64607
472	3206	64582
473	3213	64572
474	3218	64538
475	3223	64504
476	3230	64494
477	3235	64458
478	3241	64424
479	3247	64414
480	3253	64380
481	3259	64363
482	3265	64343
483	3271	64318
484	3279	64331
485	3284	64292
486	3289	64264
487	3296	64255
488	3302	64224
489	3308	64204
490	3313	64176
491	3319	64149
492	3325	64137
493	3330	64096
494	3337	64088
495	3344	64089
496	3354	64147
497	3362	64159
498	3367	64120
499	3374	64114
500	3380	64086
501	3385	64050
502	3391	64036
503	3397	64008
504	3402	63966
505	3408	63953
506	3413	63911
507	3418	63879
508	3425	63873
509	3430	63838
510	3437	63827
511	3442	63798
512	3447	63761
513	3454	63759
514	3459	63719
515	3464	63680
516	3471	63667
517	3475	63627
518	3481	63593
519	3488	63607
520	3494	63571
521	3499	63544
522	3508	63574
523	3514	63547
524	3520	63542
525	3526	63509
526	3531	63478
527	3538	63471
528	3543	63433
529	3548	63412
530	3554	63388
531	3561	63379
532	3567	63363
533	3573	63338
534	3579	63325
535	3586	63326
536	3594	63346
537	3600	63330
538	3607	63321
539	3614	63317
540	3620	63309
541	3626	63284
542	3636	63336
543	3642	63313
544	3650	63330
545	3656	63304
546	3663	63311
547	3670	63314
548	3676	63288
549	3683	63297
550	3688	63254
551	3694	63242
552	3701	63232
553	3706	63200
554	3714	63206
555	3719	63181
556	3724	63145
557	3732	63162
558	3738	63136
559	3752	63251
560	3766	63375
561	3773	63362
562	3780	63364
563	3786	63351
564	3794	63361
565	3799	63333
566	3805	63312
567	3812	63303
568	3817	63276
569	3823	63252
570	3829	63239
571	3835	63225
572	3842	63215
573	3847	63183
574	3852	63148
575	3859	63144
576	3864	63114
577	3869	63081
578	3876	63072
579	3883	63069
580	3889	63047
581	3894	63026
582	3899	62993
583	3906	62984
584	3912	62962
585	3917	62933
586	3925	62946
587	3930	62910
588	3935	62877
589	3941	62862
590	3946	62836
591	3951	62801
592	3958	62802
593	3963	62765
594	3968	62731
595	3974	62718
596	3980	62693
597	3988	62701
598	3994	62686
599	3999	62652
600	4006	62657
601	4011	62628
602	4017	62613
603	4023	62592
604	4029	62569
605	4035	62561
606	4040	62527
607	4046	62514
608	4053	62505
609	4058	62472
610	4064	62453
611	4071	62449
612	4077	62435
613	4083	62430
614	4089	62410
615	4095	62384
616	4101	62377
617	4107	62353
618	4112	62322
619	4119	62327
620	4125	62310
621	4133	62318
622	4139	62310
623	4145	62290
624	4151	62278
625	4157	62261
626	4165	62266
627	4171	62250
628	4176	62224
629	4184	62230
630	4189	62200
631	4195	62184
632	4200	62164
633	4206	62141
634	4213	62147
635	4220	62136
636	4226	62123
637	4234	62134
638	4240	62121
639	4248	62140
640	4255	62134
641	4264	62167
642	4270	62143
643	4279	62167
644	4284	62144
645	4289	62116
646	4297	62121
647	4302	62099
648	4310	62105
649	4315	62079
650	4322	62076
651	4327	62048
652	4333	62025
653	4340	62022
654	4345	61995
655	4350	61974
656	4358	61985
657	4364	61964
658	4371	61965
659	4376	61940
660	4384	61948
661	4391	61938
662	4396	61914
663	4402	61902
664	4408	61882
665	4413	61858
666	4419	61842
667	4424	61815
668	4430	61788
669	4436	61775
670	4441	61750
671	4446	61719
672	4452	61709
673	4457	61673
674	4462	61654
675	4468	61631
676	4474	61615
677	4480	61608
678	4487	61608
679	4493	61582
680	4499	61567
681	4504	61546
682	4509	61515
683	4515	61503
684	4521	61482
685	4526	61463
686	4533	61455
687	4539	61436
688	4545	61420
689	4551	61409
690	4556	61382
691	4561	61353
692	4567	61344
693	4573	61322
694	4578	61305
695	4584	61278
696	4588	61249
697	4593	61222
698	4599	61205
699	4604	61176
700	4609	61146
701	4614	61124
702	4619	61091
703	4625	61073
704	4631	61066
705	4637	61044
706	4643	61035
707	4648	61005
708	4653	60977
709	4659	60965
710	4665	60952
711	4671	60937
712	4679	60950
713	4685	60938
714	4693	60945
715	4698	60924
716	4704	60904
717	4727	61119
718	4735	61121
719	4744	61152
720	4751	61144
721	4761	61191
722	4767	61175
723	4773	61165
724	4779	61148
725	4788	61167
726	4794	61158
727	4799	61133
728	4807	61132
729	4812	61112
730	4818	61096
731	4825	61094
732	4833	61102
733	4841	61123
734	4849	61129
735	4859	61170
736	4865	61150
737	4876	61204
738	4883	61198
739	4896	61267
740	4902	61260
741	4908	61244
742	4913	61223
743	4921	61227
744	4926	61203
745	4931	61179
746	4938	61173
747	4943	61149
