iter	RMSE
132	2.136872869
133	2.130599109
134	2.125585884
135	2.121714842
136	2.117465924
137	2.115468055
138	2.113391278
139	2.110112434
140	2.107828497
141	2.104214496
142	2.101273254
143	2.099262677
144	2.096070538
145	2.094264693
146	2.091303279
147	2.085607096
148	2.085223781
149	2.081744859
150	2.076909658
151	2.074061664
152	2.072424002
153	2.069626963
154	2.066662638
155	2.064055496
156	2.062762418
157	2.058435611
158	2.053909796
159	2.050930047
160	2.048200603
161	2.0468656
162	2.041044684
163	2.03644604
164	2.033690772
165	2.031507001
166	2.028151372
167	2.02383205
168	2.022442781
169	2.020303383
170	2.018953204
171	2.016800983
172	2.013895679
173	2.012233147
174	2.009229934
175	2.007707225
176	2.005450594
177	2.002511231
178	1.999223785
179	1.99832516
180	1.996100954
181	1.993824948
182	1.990172781
183	1.989338471
184	1.987431988
185	1.98393218
186	1.977806316
187	1.975060007
188	1.973596948
189	1.972014672
190	1.969083672
191	1.965301202
192	1.963920055
193	1.962760107
194	1.961769977
195	1.959631315
196	1.958757595
197	1.957122602
198	1.954132191
199	1.95100933
200	1.949936349
201	1.948763989
202	1.946255964
203	1.944514638
204	1.942745371
205	1.940380448
206	1.938707065
207	1.937280252
208	1.935385024
209	1.932338186
210	1.929313224
211	1.928304509
212	1.925645045
213	1.923436026
214	1.92070824
215	1.919336771
216	1.917276856
217	1.914818769
218	1.913424869
219	1.911649125
220	1.909625827
221	1.906928867
222	1.905032907
223	1.903229759
224	1.902162328
225	1.901432287
226	1.899827986
227	1.896748753
228	1.894275203
229	1.891956772
230	1.890037226
231	1.887987056
232	1.886461711
233	1.884956929
234	1.884167642
235	1.880574752
236	1.878259132
237	1.875320502
238	1.874882733
239	1.873940809
240	1.87241926
241	1.870651976
242	1.869116472
243	1.865696149
244	1.86402626
245	1.862789236
246	1.861534077
247	1.860611062
248	1.858807331
249	1.857904543
250	1.85442627
251	1.852635796
252	1.846452949
253	1.843677272
254	1.841633925
255	1.840557818
256	1.836054224
257	1.834147568
258	1.8317251
259	1.830780333
260	1.829785283
261	1.828389253
262	1.825732875
263	1.823805321
264	1.823541323
265	1.821625538
266	1.821057875
267	1.820091363
268	1.818838931
269	1.817950891
270	1.815616108
271	1.814109703
272	1.811089438
273	1.809249207
274	1.804260652
275	1.801873767
276	1.800115134
277	1.798632837
278	1.797648565
279	1.794682823
280	1.792589039
281	1.791276792
282	1.789471942
283	1.788039371
284	1.786631789
285	1.785327588
286	1.783166029
287	1.78162677
288	1.780283367
289	1.779291343
290	1.777575865
291	1.776588045
292	1.776309086
293	1.775419318
294	1.773832686
295	1.772729893
296	1.768806698
297	1.767593881
298	1.766535449
299	1.765709992
300	1.763641094
301	1.76058609
302	1.757578182
303	1.756120038
304	1.755005497
305	1.752007226
306	1.750187178
307	1.74950607
308	1.748465048
309	1.74740662
310	1.746696191
311	1.7450114
312	1.744593792
313	1.743961828
314	1.741640272
315	1.740040089
316	1.738020872
317	1.736621158
318	1.735172012
319	1.733548967
320	1.731731849
321	1.730131064
322	1.728274836
323	1.728049407
324	1.725100642
325	1.72426289
326	1.722952516
327	1.721494878
328	1.720339132
329	1.719318413
330	1.7188946
331	1.716624567
332	1.715808152
333	1.714762871
334	1.711822923
335	1.710833762
336	1.710297517
337	1.709668507
338	1.708214483
339	1.707328978
340	1.70426447
341	1.702994693
342	1.701947506
343	1.700257732
344	1.699116898
345	1.697691363
346	1.695618034
347	1.693585441
348	1.692732948
349	1.692053406
350	1.69034716
351	1.689441853
352	1.689118095
353	1.688210554
354	1.686943612
355	1.68598519
356	1.685579167
357	1.684502566
358	1.683062179
359	1.681540814
360	1.680011902
361	1.679611639
362	1.679144512
363	1.678221911
364	1.677658171
365	1.676902281
366	1.676721254
367	1.676052545
368	1.675263303
369	1.674544785
370	1.674007358
371	1.672745777
372	1.671610286
373	1.670231889
374	1.669430628
375	1.668930725
376	1.668148525
377	1.666824945
378	1.66430115
379	1.662927868
380	1.662122599
381	1.661271249
382	1.660445368
383	1.658752975
384	1.657916407
385	1.656038076
386	1.655115265
387	1.653903659
388	1.65369839
389	1.651686896
390	1.650400995
391	1.64999587
392	1.648918149
393	1.647149766
394	1.644664225
395	1.643532862
396	1.642906702
397	1.641491976
398	1.640583392
399	1.638166908
400	1.6362527
401	1.635661159
402	1.634021176
403	1.632017808
404	1.630697058
405	1.629759824
406	1.627800136
407	1.627647
408	1.625895619
409	1.625002512
410	1.623392506
411	1.622772719
412	1.620990321
413	1.618963557
414	1.618072699
415	1.617288339
416	1.616732266
417	1.616022783
418	1.615333064
419	1.613411493
420	1.613203365
421	1.612222284
422	1.611195774
423	1.61104933
424	1.610248686
425	1.608855156
426	1.607910947
427	1.606782453
428	1.606611561
429	1.605593052
430	1.604316528
431	1.604120361
432	1.603411729
433	1.603159335
434	1.602024032
435	1.60132448
436	1.600071688
437	1.59872922
438	1.59727479
439	1.596288318
440	1.59482265
441	1.593362007
442	1.591831979
443	1.591313935
444	1.590912915
445	1.590762682
446	1.589353054
447	1.587561098
448	1.586117692
449	1.584378654
450	1.583736937
451	1.582933641
452	1.581441086
453	1.579641299
454	1.57890072
455	1.577998169
456	1.577473479
457	1.576306027
458	1.574787152
459	1.574338245
460	1.573473983
461	1.572970392
462	1.572753329
463	1.572256023
464	1.571472184
465	1.569613954
466	1.569366117
467	1.568802586
468	1.568061846
469	1.567275515
470	1.566890562
471	1.566658682
472	1.566073904
473	1.56552368
474	1.564509759
475	1.563195612
476	1.562861882
477	1.560841773
478	1.55962515
479	1.558748495
480	1.556189686
481	1.5551028
482	1.55460513
483	1.553810517
484	1.553026151
485	1.551424098
486	1.550326119
487	1.54898035
488	1.547876042
489	1.547112779
490	1.546334173
491	1.546006228
492	1.545432098
493	1.545035583
494	1.544181101
495	1.543706372
496	1.542866226
497	1.541990068
498	1.541549475
499	1.540454685
500	1.538980307
501	1.538045426
502	1.536858722
503	1.536227179
504	1.535646231
505	1.534635554
506	1.533834849
507	1.53254513
508	1.531706543
509	1.530989076
510	1.530796606
511	1.52961171
512	1.528684059
513	1.52769886
514	1.527217537
515	1.52694137
516	1.526654997
517	1.526187751
518	1.52600633
519	1.525535277
520	1.525139206
521	1.523722088
522	1.522979216
523	1.522354805
524	1.521038183
525	1.520701061
526	1.519169798
527	1.515882796
528	1.515293793
529	1.514316228
530	1.513614776
531	1.512599679
532	1.512041689
533	1.510895019
534	1.509017734
535	1.507815171
536	1.506548177
537	1.50493025
538	1.504015496
539	1.502739345
540	1.502039959
541	1.501161552
542	1.50048326
543	1.499014054
544	1.498203799
545	1.497333017
546	1.496880411
547	1.496213923
548	1.494934336
549	1.493941535
550	1.49368923
551	1.492985857
552	1.492332327
553	1.492035159
554	1.490990358
555	1.490196886
556	1.489863141
557	1.48925832
558	1.488461283
559	1.487949832
560	1.487103643
561	1.486535042
562	1.485781008
563	1.484368017
564	1.483510248
565	1.4826381
566	1.481674167
567	1.480256979
568	1.479045115
569	1.478370225
570	1.477306146
571	1.474756511
572	1.474098274
573	1.473171605
574	1.472867806
575	1.472040889
576	1.471662468
577	1.471142269
578	1.470271547
579	1.469537463
580	1.468795888
581	1.4673278
582	1.466543516
583	1.46584811
584	1.464873934
585	1.464206733
586	1.463311418
587	1.462984334
588	1.461949758
589	1.461141366
590	1.460213879
591	1.459808924
592	1.45932943
593	1.458831339
594	1.458469183
595	1.458039007
596	1.457530244
597	1.456870372
598	1.456220473
599	1.455880085
600	1.454750917
601	1.45376227
602	1.453611581
603	1.45230287
604	1.451751684
605	1.450631218
606	1.45059362
607	1.448659501
608	1.44818626
609	1.447218945
610	1.446038399
611	1.44514803
612	1.444086381
613	1.443578569
614	1.442578493
615	1.441974547
616	1.439868385
617	1.439335934
618	1.438740964
619	1.438240514
620	1.43717328
621	1.436366631
622	1.435670227
623	1.434933587
624	1.433662436
625	1.432684703
626	1.431434423
627	1.43070726
628	1.429681128
629	1.42937126
630	1.429061095
631	1.42855318
632	1.427890379
633	1.426835227
634	1.425609022
635	1.425168746
636	1.424115089
637	1.4236206
638	1.423206665
639	1.422662334
640	1.420920219
641	1.420169895
642	1.420071948
643	1.41946257
644	1.418476088
645	1.417897914
646	1.416680388
647	1.415192141
648	1.414523908
649	1.41378643
650	1.41317424
651	1.41268505
652	1.41208112
653	1.411424056
654	1.411279175
655	1.410332121
656	1.409481762
657	1.409074454
658	1.408384704
659	1.407774326
660	1.406820664
661	1.405859318
662	1.405135113
663	1.404850109
664	1.403668086
665	1.402357788
666	1.401821301
667	1.400803574
668	1.399864374
669	1.399403527
670	1.399077204
671	1.398040006
672	1.396575356
673	1.39607824
674	1.394533572
675	1.394498102
676	1.393607192
677	1.392373199
678	1.391811116
679	1.391425426
680	1.39060002
681	1.390032987
682	1.389256721
683	1.388544053
684	1.387965453
685	1.387574618
686	1.38712864
687	1.385892696
688	1.3850353
689	1.384559238
690	1.384100739
691	1.383648722
692	1.383282835
693	1.38301461
694	1.382589942
695	1.381762883
696	1.38165043
697	1.381449721
698	1.38104823
699	1.380891777
700	1.380458088
701	1.380142854
702	1.379831081
703	1.378781651
704	1.377862293
705	1.377252765
706	1.376966254
707	1.3767037
708	1.375647462
709	1.375154481
710	1.374628937
711	1.373554103
712	1.3727027
713	1.371960798
714	1.371098877
715	1.370746191
716	1.370543049
717	1.369251287
718	1.368912463
719	1.36837198
720	1.367521086
721	1.366339882
722	1.365432958
723	1.365064978
724	1.364411371
725	1.364151355
726	1.361514928
727	1.361087417
728	1.360462425
729	1.359792488
730	1.359097314
731	1.358487822
732	1.357676709
733	1.357436564
734	1.356000117
735	1.355213237
736	1.351963995
737	1.351106537
738	1.350286903
739	1.349703906
740	1.349177208
741	1.348472819
742	1.348059541
743	1.346249642
744	1.345714213
745	1.345172881
746	1.345061712
747	1.34435777
748	1.343554204
749	1.342724611
750	1.341818215
751	1.341343999
752	1.340426269
753	1.340145594
754	1.338300639
755	1.337383489
756	1.335765617
757	1.334743959
758	1.334415765
759	1.334123618
760	1.33351139
761	1.333206286
762	1.332775148
763	1.332561229
764	1.332227861
765	1.331865333
766	1.331402871
767	1.331122841
768	1.330667585
769	1.330405478
770	1.329830661
771	1.329359668
772	1.328896196
773	1.328228166
774	1.327500444
775	1.327146056
776	1.326543143
777	1.325926188
778	1.325218215
779	1.324657034
780	1.323856194
781	1.322861249
782	1.321952428
783	1.321491024
784	1.320831072
785	1.320341456
786	1.319649829
787	1.319182287
788	1.318826147
789	1.318262786
790	1.318015634
791	1.317821734
792	1.316811609
793	1.316610906
794	1.315855064
795	1.31499583
796	1.314858532
797	1.313470807
798	1.313038926
799	1.312396947
800	1.31213317
801	1.311844856
802	1.31069412
803	1.310209463
804	1.309924603
805	1.309455314
806	1.309214895
807	1.308307361
808	1.307810473
809	1.306822916
810	1.30580567
811	1.305280443
812	1.304562757
813	1.303808835
814	1.303121736
815	1.302454576
816	1.301404772
817	1.300544366
818	1.299798117
819	1.299236414
820	1.298976668
821	1.298687343
822	1.298354102
823	1.297958762
824	1.296774734
825	1.296037584
826	1.295262356
827	1.294974037
828	1.294170698
829	1.293359835
830	1.293237513
831	1.29238925
832	1.29214401
833	1.291843582
834	1.290379135
835	1.289985329
836	1.289183413
837	1.289010737
838	1.288443991
839	1.287626413
840	1.28656191
841	1.286205785
842	1.285653569
843	1.284293241
844	1.284091115
845	1.283119873
846	1.282920721
847	1.282245637
848	1.281867376
849	1.280936612
850	1.280581758
851	1.280093331
852	1.279719832
853	1.279028581
854	1.278469657
855	1.277809699
856	1.277540021
857	1.27700231
858	1.276282694
859	1.275838595
860	1.275386753
861	1.274939569
862	1.274545582
863	1.274305092
864	1.273928595
865	1.273360167
866	1.273141278
867	1.272694362
868	1.272510325
869	1.27197236
870	1.271589106
871	1.270786909
872	1.270745895
873	1.270359894
874	1.269971038
875	1.269313826
876	1.268731673
877	1.268516389
878	1.268319319
879	1.267822033
880	1.267268121
881	1.266731146
882	1.264849682
883	1.264271773
884	1.263861157
885	1.26348495
886	1.262856908
887	1.262582367
888	1.262195829
889	1.261407492
890	1.260164162
891	1.259936579
892	1.259044799
893	1.258549417
894	1.257835418
895	1.257186976
896	1.256899656
897	1.256366939
898	1.255496258
899	1.253912254
900	1.253349482
901	1.252821052
902	1.252072985
903	1.2518722
904	1.251645819
905	1.250592587
906	1.25002972
907	1.249627452
908	1.249091772
909	1.248667594
910	1.246599796
911	1.246128333
912	1.245666232
913	1.245407789
914	1.244589265
915	1.244352295
916	1.243974277
917	1.243206841
918	1.242201291
919	1.241498984
920	1.240518453
921	1.239173758
922	1.238483252
923	1.237763129
924	1.237576126
925	1.237187831
926	1.235616468
927	1.23491427
928	1.234249093
929	1.233287171
930	1.232758387
931	1.232325807
932	1.231564384
933	1.230855376
934	1.230309808
935	1.229929972
936	1.229332073
937	1.228907643
938	1.228106212
939	1.227627492
940	1.226938483
941	1.226207913
942	1.225776627
943	1.225173531
944	1.224614848
945	1.224332224
946	1.223959613
947	1.223189554
948	1.222630024
949	1.222220922
950	1.221641598
951	1.221216099
952	1.220843044
953	1.220617339
954	1.220246032
955	1.220130139
956	1.219433255
957	1.218980336
958	1.217934913
959	1.217883801
960	1.217430088
961	1.216951892
962	1.216471693
963	1.215735154
964	1.215431365
965	1.215102946
966	1.214857209
967	1.214782961
968	1.214298896
969	1.213946063
970	1.213653668
971	1.212085692
972	1.211545684
973	1.21083084
974	1.208794205
975	1.20839568
976	1.208116261
977	1.207284222
978	1.206376058
979	1.205974235
980	1.205423119
981	1.205262241
982	1.204282438
983	1.203768909
984	1.203378079
985	1.202818944
986	1.202099693
987	1.201528548
988	1.20100223
989	1.200770781
990	1.200092688
991	1.199626883
992	1.199037584
993	1.198849101
994	1.198734772
995	1.197132431
996	1.196857371
997	1.196412281
998	1.195716148
999	1.19536945
1000	1.194844408
1001	1.1941739
1002	1.193636692
1003	1.193298404
1004	1.191655703
1005	1.191242398
1006	1.191058041
1007	1.190148583
1008	1.189360751
1009	1.188945394
1010	1.18802734
1011	1.187598067
1012	1.187521852
1013	1.1870826
1014	1.187010877
1015	1.18646871
1016	1.186051956
1017	1.18556299
1018	1.185264961
1019	1.184667135
1020	1.184439425
1021	1.184198224
1022	1.184121058
1023	1.183273832
1024	1.182866403
1025	1.182326836
1026	1.182117524
1027	1.181760594
1028	1.181198753
1029	1.180915428
1030	1.180732004
1031	1.180214783
1032	1.180189184
1033	1.179125817
1034	1.178641451
1035	1.177995474
1036	1.177491935
1037	1.176734873
1038	1.176463213
1039	1.175978746
1040	1.175764629
1041	1.17561881
1042	1.175462658
1043	1.175302315
1044	1.174727662
1045	1.174682924
1046	1.174039651
1047	1.173569647
1048	1.173141155
1049	1.172727439
1050	1.17245152
1051	1.172154104
1052	1.171848986
1053	1.171328932
1054	1.170730191
1055	1.170631152
1056	1.170498369
1057	1.16976704
1058	1.168046518
1059	1.167722401
1060	1.167389337
1061	1.166649353
1062	1.165871405
1063	1.165074059
1064	1.164399859
1065	1.162921526
1066	1.162445616
1067	1.162348395
1068	1.162001798
1069	1.161373246
1070	1.16105991
1071	1.160244486
1072	1.159812239
1073	1.159264146
1074	1.15920679
1075	1.158504283
1076	1.158055583
1077	1.157449134
1078	1.156957037
1079	1.156094163
1080	1.155648721
1081	1.155155248
1082	1.154864516
1083	1.154550802
1084	1.153778927
1085	1.153556595
1086	1.153259974
1087	1.152831142
1088	1.152561048
1089	1.152014601
1090	1.151748141
1091	1.15141312
1092	1.151187743
1093	1.150534764
1094	1.150045774
1095	1.149591795
1096	1.149308329
1097	1.148829487
1098	1.148531338
1099	1.147457982
1100	1.146569759
1101	1.146260704
1102	1.145742414
1103	1.145214668
1104	1.144852378
1105	1.14459401
1106	1.144382509
1107	1.143999652
1108	1.143329376
1109	1.14287821
1110	1.142642659
1111	1.142203585
1112	1.14174294
1113	1.141507599
1114	1.140889525
1115	1.140219764
1116	1.139774318
1117	1.138778752
1118	1.138252339
1119	1.136719004
1120	1.136467249
1121	1.136224338
1122	1.135663485
1123	1.135295036
1124	1.134203704
1125	1.133959512
1126	1.133704361
1127	1.133168465
1128	1.132903433
1129	1.131905369
1130	1.131174796
1131	1.130811354
1132	1.130287352
1133	1.129637489
1134	1.129285095
1135	1.128713622
1136	1.128645894
1137	1.128362325
1138	1.12800021
1139	1.127569809
1140	1.126285212
1141	1.125628459
1142	1.124614214
1143	1.124304133
1144	1.123720333
1145	1.123540231
1146	1.122988425
1147	1.122712964
1148	1.122217838
1149	1.121636707
1150	1.121041396
1151	1.120582283
1152	1.120215285
1153	1.119455218
1154	1.119053108
1155	1.1179341
1156	1.117556496
1157	1.116936576
1158	1.116509113
1159	1.115984928
1160	1.115877116
1161	1.11553848
1162	1.115260755
1163	1.1152039
1164	1.114863908
1165	1.113909966
1166	1.113315298
1167	1.113063011
1168	1.112620242
1169	1.112404382
1170	1.112019656
1171	1.111836589
1172	1.111161724
1173	1.11064824
1174	1.11017809
1175	1.109681441
1176	1.109475572
1177	1.109084705
1178	1.108021788
1179	1.107313388
1180	1.106268925
1181	1.10568548
1182	1.105193118
1183	1.105149321
1184	1.104177702
1185	1.104063004
1186	1.103788876
1187	1.103112058
1188	1.102275684
1189	1.102064941
1190	1.101663296
1191	1.101438181
1192	1.101048239
1193	1.100405384
1194	1.099886796
1195	1.09953982
1196	1.099076171
1197	1.098908533
1198	1.098477227
1199	1.097861854
1200	1.097143273
1201	1.09665165
1202	1.095295629
1203	1.094964836
1204	1.094408037
1205	1.094246014
1206	1.093992078
1207	1.093700629
1208	1.093156091
1209	1.092124973
1210	1.091461387
1211	1.090766463
1212	1.09032728
1213	1.090036643
1214	1.090006716
1215	1.089789617
1216	1.089406533
1217	1.089220143
1218	1.088551593
1219	1.087835163
1220	1.087574882
1221	1.087408187
1222	1.087064763
1223	1.086451484
1224	1.085949665
1225	1.085780432
1226	1.085549218
1227	1.085076775
1228	1.084846981
1229	1.084608674
1230	1.083497171
1231	1.082855487
1232	1.082541143
1233	1.082399027
1234	1.082182733
1235	1.081829752
1236	1.081572664
1237	1.081279143
1238	1.081007491
1239	1.080364736
1240	1.080107885
1241	1.07946633
1242	1.079347159
1243	1.078963573
1244	1.078466219
1245	1.077980459
1246	1.077140893
1247	1.076729048
1248	1.076694491
1249	1.076335343
1250	1.075732336
1251	1.075627578
1252	1.074876263
1253	1.074517138
1254	1.074383146
1255	1.07386936
1256	1.07338207
1257	1.072789183
1258	1.072404348
1259	1.071556263
1260	1.070400608
1261	1.070244368
1262	1.069775333
1263	1.06963568
1264	1.069030214
1265	1.068915127
1266	1.06882574
1267	1.068634453
1268	1.068312618
1269	1.068168509
1270	1.06733541
1271	1.066191724
1272	1.065587195
1273	1.06525557
1274	1.065107657
1275	1.064761591
1276	1.064210149
1277	1.063721786
1278	1.063373117
1279	1.063091576
1280	1.063055454
1281	1.062842399
1282	1.062322493
1283	1.062153884
1284	1.062032836
1285	1.061795526
1286	1.061221463
1287	1.0597326
1288	1.059494529
1289	1.058575114
1290	1.058326351
1291	1.057699596
1292	1.056924863
1293	1.056811793
1294	1.056570045
1295	1.055964835
1296	1.05588243
1297	1.055311713
1298	1.055007288
1299	1.054682149
1300	1.054539784
1301	1.054146454
1302	1.053906768
1303	1.05302205
1304	1.052912059
1305	1.052490993
1306	1.052188698
1307	1.050670359
1308	1.050414871
1309	1.049997634
1310	1.049584909
1311	1.049507431
1312	1.049201096
1313	1.048693402
1314	1.048525718
1315	1.048233877
1316	1.047837322
1317	1.047514551
1318	1.047127596
1319	1.046431657
1320	1.045609614
1321	1.045333715
1322	1.044626967
1323	1.044391985
1324	1.04378634
1325	1.043487838
1326	1.043138184
1327	1.042919215
1328	1.042546006
1329	1.042347849
1330	1.042101279
1331	1.041924223
1332	1.041514569
1333	1.041001666
1334	1.040755082
1335	1.040030918
1336	1.03967359
1337	1.03930071
1338	1.039055222
1339	1.038692474
1340	1.037920068
1341	1.037537555
1342	1.036845633
1343	1.036392471
1344	1.036062154
1345	1.035885034
1346	1.035802195
1347	1.035526344
1348	1.035221528
1349	1.034953973
1350	1.034717187
1351	1.034535501
1352	1.034418958
1353	1.034129808
1354	1.033959737
1355	1.033457879
1356	1.033323363
1357	1.033071704
1358	1.032775717
1359	1.032541102
1360	1.031848387
1361	1.031654574
1362	1.031250482
1363	1.03108052
1364	1.030948257
1365	1.030782476
1366	1.03043045
1367	1.029776419
1368	1.029131979
1369	1.028999948
1370	1.028809049
1371	1.02853938
1372	1.028318436
1373	1.027743511
1374	1.02741673
1375	1.027391467
1376	1.027263031
1377	1.026865174
1378	1.026470407
1379	1.026239854
1380	1.02537733
1381	1.025104821
1382	1.024571666
1383	1.024270015
1384	1.024032509
1385	1.02366631
1386	1.023056936
1387	1.022576346
1388	1.022280446
1389	1.022249162
1390	1.02190901
1391	1.021739028
1392	1.021630662
1393	1.021197674
1394	1.021073463
1395	1.020666234
1396	1.02026652
1397	1.019922587
1398	1.019658188
1399	1.019378829
1400	1.019234716
1401	1.019120173
1402	1.018977932
1403	1.01878675
1404	1.018454411
1405	1.018046723
1406	1.017330381
1407	1.016810158
1408	1.016565789
1409	1.016211851
1410	1.015926975
1411	1.015451554
1412	1.015182183
1413	1.014681038
1414	1.014379865
1415	1.014034985
1416	1.01387433
1417	1.013490829
1418	1.013253965
1419	1.012859082
1420	1.012712545
1421	1.012602433
1422	1.012549051
1423	1.012066247
1424	1.011538959
1425	1.011201604
1426	1.010904354
1427	1.010649171
1428	1.010349416
1429	1.009984575
1430	1.009117318
1431	1.008804516
1432	1.008546471
1433	1.008349527
1434	1.007834394
1435	1.007357003
1436	1.006968083
1437	1.006220444
1438	1.005909455
1439	1.005603893
1440	1.005465598
1441	1.00543629
1442	1.004957212
1443	1.004842757
1444	1.004656237
1445	1.004419471
1446	1.004347094
1447	1.004079487
1448	1.003794713
1449	1.00358265
1450	1.0032904
1451	1.003206094
1452	1.003100548
1453	1.002936198
1454	1.002549746
1455	1.00183818
1456	1.001540902
1457	1.001245779
1458	1.001110958
1459	1.000664154
1460	1.000327137
1461	1.000081034
1462	0.9995323677
1463	0.9993544616
1464	0.999185957
1465	0.9986771121
1466	0.9985896355
1467	0.9981488429
1468	0.9978516154
1469	0.9975062393
1470	0.9973324371
1471	0.9970561821
1472	0.9968983852
1473	0.9967893617
1474	0.9963348872
1475	0.9957624958
1476	0.9953138379
1477	0.9949875549
1478	0.9925804665
1479	0.992336718
1480	0.992142038
1481	0.9919228411
1482	0.9918780107
1483	0.9913138383
1484	0.9909364887
1485	0.9908740109
1486	0.9906466192
1487	0.9904565721
1488	0.9902434914
1489	0.9901915404
1490	0.9896055208
1491	0.9893800235
1492	0.9892615394
1493	0.9890291829
1494	0.9889166762
1495	0.9886123839
1496	0.9885826797
1497	0.9882122723
1498	0.9878793537
1499	0.9874751221
1500	0.9874411753
1501	0.9873096947
1502	0.9871588648
1503	0.986457848
1504	0.9864367001
1505	0.9859074481
1506	0.9858482395
1507	0.985787106
1508	0.9854216003
1509	0.9851572164
1510	0.9847758427
1511	0.9845414532
1512	0.9841081336
1513	0.9839553329
1514	0.9834297743
1515	0.9832921281
1516	0.9830279955
1517	0.982800231
1518	0.9827187085
1519	0.9823657239
1520	0.9821061224
1521	0.9815569247
1522	0.9813874952
1523	0.9813198112
1524	0.9809969628
1525	0.9805663167
1526	0.9803571364
1527	0.9799886205
1528	0.9799789141
1529	0.9794866894
1530	0.97901622
1531	0.9785656196
1532	0.9784708118
1533	0.9782320291
1534	0.9781536789
1535	0.9779053244
1536	0.9774941746
1537	0.9772963089
1538	0.9770969747
1539	0.9767469298
1540	0.9761878581
1541	0.9759561491
1542	0.9756936969
1543	0.9755209408
1544	0.9750038219
1545	0.9745978379
1546	0.97381586
1547	0.9736199506
1548	0.9735302268
1549	0.9732745825
1550	0.9732237603
1551	0.9730714993
1552	0.9725768624
1553	0.9724109755
1554	0.9723969637
1555	0.9718141938
1556	0.9716793147
1557	0.9715280113
1558	0.9713920278
1559	0.9709163478
1560	0.9703918061
1561	0.9701856415
1562	0.9690451744
1563	0.9687128245
1564	0.9681144656
1565	0.9679568
1566	0.9675175421
1567	0.9671901219
1568	0.9669317537
1569	0.9666694139
1570	0.9664056727
1571	0.9663330473
1572	0.9658557566
1573	0.965535387
1574	0.9652170641
1575	0.965059463
1576	0.9646853122
1577	0.9645914345
1578	0.9640876347
1579	0.9638003615
1580	0.9634369717
1581	0.9633692376
1582	0.9632251901
1583	0.9626933817
1584	0.9616748596
1585	0.9616342893
1586	0.9611624376
1587	0.9605789106
1588	0.9604907658
1589	0.9602576856
1590	0.9599965604
1591	0.9597109668
1592	0.9594936034
1593	0.9593974373
1594	0.9590925572
1595	0.9585834164
1596	0.9583195027
1597	0.9580307433
1598	0.9576865984
1599	0.9574465332
1600	0.9568781417
1601	0.9565760684
1602	0.9561413151
1603	0.9557667219
1604	0.9555998645
1605	0.9554001269
1606	0.9552848449
1607	0.9551146471
1608	0.9548825257
1609	0.9546409649
1610	0.9545126265
1611	0.9541261655
1612	0.9539180365
1613	0.9537019692
1614	0.9534774169
1615	0.9532488295
1616	0.9527364585
1617	0.9525744126
1618	0.9520848956
1619	0.9519066928
1620	0.9517561156
1621	0.9511626224
1622	0.9511460011
1623	0.9507232024
1624	0.9505839766
1625	0.9500986332
1626	0.9499472986
1627	0.9494843262
1628	0.9491502291
1629	0.9488622481
1630	0.9486873891
1631	0.9486497481
1632	0.9482740513
1633	0.9479528154
1634	0.9478208026
1635	0.9477013795
1636	0.9473712883
1637	0.9472319049
1638	0.9469787368
1639	0.9469260615
1640	0.9466442924
1641	0.9462479693
1642	0.945817974
1643	0.9453533841
1644	0.9450694737
